"篇名","条","見出し","山海経訳","現行地","距離補正","音韻データ","アイヌ語解釈","出典"
"特別編：海内北経の倭国について","陵魚、鯾、明組邑、蓬莱山、大人之市","陵魚","「陵魚は人面で手足あり、魚の身。海中にあり。大きな鯾は海中に住む。明組邑は海中にあり。蓬莱山は海中にあり。大人之市は海中にあり」","","","上古音：「陵」l i̯əŋ／l ǐəŋ／l jəŋ／l iəŋ／l jəng
上古音：「魚」ŋ i̯o／ŋ ǐa／ŋ jaɡ／ŋ jaɣ／ng jag","アイヌ語：陵魚＝「リ(ri)・アゥ(aw)・ウン(un)・キル(kir)・アク(ak)」＝「高い・角、枝分かれ・にある・山脚の・弟（のように小さいもの）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","陵魚、鯾、明組邑、蓬莱山、大人之市","鯾","「陵魚は人面で手足あり、魚の身。海中にあり。大きな鯾は海中に住む。明組邑は海中にあり。蓬莱山は海中にあり。大人之市は海中にあり」","","","上古音：「鯾」 - -／- -／p juæn／p jiwan／p jian","アイヌ語：鯾＝「ピル(pir)・アゥ(aw)・ウン(un)」＝「傷の（ように切り刻まれた）・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","陵魚、鯾、明組邑、蓬莱山、大人之市","明組","「陵魚は人面で手足あり、魚の身。海中にあり。大きな鯾は海中に住む。明組邑は海中にあり。蓬莱山は海中にあり。大人之市は海中にあり」","","","上古音：「明」m i̯ăŋ／m iaŋ／m juăŋ／m iwaŋ／m jiang
上古音：「組」ts o／ts a／ts ɑɡ／ts aɣ／ts agx","アイヌ語：明組＝「ムィ(muy)・アゥ(aw)・ウン(un)・テュ(tu)・アク(ak)」＝「頂の・角、枝分かれ・にある・峰の・弟（のように小さいもの）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","陵魚、鯾、明組邑、蓬莱山、大人之市","蓬莱","「陵魚は人面で手足あり、魚の身。海中にあり。大きな鯾は海中に住む。明組邑は海中にあり。蓬莱山は海中にあり。大人之市は海中にあり」","","","上古音：「蓬」bʰ uŋ／b ɔŋ／bʰ ûŋ／b ewŋ／b ung
上古音：「萊」l əɡ／l ə／l ə̂ɡ／l əɣ／l əgh","アイヌ語：蓬莱＝「プ(pu)・ウン(un)・ル(ru)・アク(ak)」＝「倉（の屋根のような三角山）・にある・消えかかった・弟（のように小さいもの）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","陵魚、鯾、明組邑、蓬莱山、大人之市","大人之市","「陵魚は人面で手足あり、魚の身。海中にあり。大きな鯾は海中に住む。明組邑は海中にあり。蓬莱山は海中にあり。大人之市は海中にあり」","","","上古音：「大」tʰ ɑd, dʰ ɑd／d at／dʰ ɑd／d ar／d adh
上古音：「人」ȵ i̯ĕn／ȵ ǐen／ȵ jen／n jien／n jin
上古音：「之」ȶ i̯əɡ／ȶ ǐə／ȶ jəɡ／t jiəɣ／t jəg
上古音：「市」ȡ i̯əɡ／ʑ ǐə／ʑ jəɡ／d jiəɣ／d jəgx","アイヌ語：大人之市＝「テュ(tu)・アッ(at)・ニ(ni)・エ(e)・エン(en)・テュ(tu)・アク(ak)・テュ(tu)・アク(ak)」＝「峰が・たくさんある・棒（のような細長い峰）が・そこで・突き出ている・峰の・弟（のように小さいもの）・峰の・弟」
※たくさんの棒のような峰が突き出ている小さな峰。","jomon2_bnum68.html"
"海内南経","甌","甌","「甌は海中にあり、閩も海中にあり、その西北に山がある」","浙江省周辺","","上古音：「甌」- -／ʔ u／0 ɔ／ʔ ûɡ／ʔ ew／· ug","アイヌ語：甌＝「ウ(u)・ク(ku)」＝「互いに重なるような・矢（のように鋭い峰）」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"海内南経","閩","閩","「甌は海中にあり、閩も海中にあり、その西北に山がある」","福建省周辺","","上古音：「閩」m i̯ən／m ǐen／m juən／m iwən／m jiən","アイヌ語：閩＝「ムィ(muy)・アゥ(aw)・ウン(un)」＝「頂の・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"海内南経","鄣山","鄣山","「三天子鄣山は閩の西北にあり」","福建省の西北","","上古音：「閩」ȶ i̯aŋ／ȶ ǐaŋ／ȶ jaŋ／t jaŋ／t jang
上古音：「山」s ăn／ʃ ean／-／s rian／s rian","アイヌ語：鄣山＝「テュ(tu)・アゥ(aw)・ウン(un)・シル(sir)・アゥ(aw)・ウン(un)」＝「峰の・角、枝分かれ・にある（ところ）・山の・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"海内南経","番隅","番隅","「桂林八樹は番隅の東にあり」","広東省広州市番禺区。漢代の（南海郡）番禺県。","","上古音：「番」pʰ i̯wăn／pʰ ǐwan／pʰ juăn／pʰ jwan／ph jan
上古音：「番」- -／pʰ uan／pʰ uɑn／pʰ wan／ph an
上古音：「番」p wɑr／p uai／- -／p wa／- -
上古音：「番」- -／p uai／p uɑ／p wa／p arh
上古音：「隅」ŋ i̯u／- -／ŋ juɡ／ŋ jew／ng jug","アイヌ語：番隅＝「ピル(pir)・アゥ(aw)・ウン(un)・キル(kir)・ク(ku)」＝「傷の（ように切り刻まれた）・角、枝分かれ・にある・山脚の・矢（のように鋭いもの）」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"海内南経","伯慮国・離耳国・雕題国・北胊国","伯慮","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「伯」p ăk／p eak／p uăk／p rwak／p rak
上古音：「慮」l i̯o／l ǐa／l jaɡ／l iaɣ／l jagh","アイヌ語：伯慮＝「プ(pu)・アク(ak)・リ(ri)・アク(ak)」＝「倉の（屋根のような三角山の）・弟（のように小さいもの）・高い・弟」","jomon2_bnum68.html"
