"州名","見出し","現行地","統一新羅地名","景徳王以前地名","三国史記編纂時地名","音韻データ","アイヌ語解釈","出典"
"康州","丹邑県","慶尚南道 山清郡 新等面 丹渓里","丹邑県","赤村県","丹渓県","上古音：「赤」ȶʰ i̯ăk／ȶʰ iak／cʰ jăk／tʰ jiak／kh rjiak
上古音：「村」- -／tsʰ uən／tsʰ uə̂n／- -／tsh ən
随唐音：「丹」t ɑn／t ɑn／t ɑn／t ɑn／t ân／t ɑn
随唐音：「邑」ʔ i̯əp／0 ǐěp／ʔ jĕp／ʔ iep／· jəp／ʔ ǐəp
随唐音：「溪」- -／kʰ iei／kʰ iɛi／kʰ iɛi／kh iei／kʰ iei","アイヌ語：「赤村（県）」
＝「テュ・エ・アク・テュ・エ・エン(tu-e-ak-tu-e-en)」＝「峰が・そこで・矢を射る（ような尖った形の）（ところ）・峰が・そこで・突き出ている（ところ）」
アイヌ語：「丹邑（県）」＝「テュ・アゥ・ウン・イ・アプ(tu-aw-un-i-ap)」＝「峰の・角、枝分かれ・にある・その・釣り針（の形のようなもの）」
アイヌ語：「丹渓（県）」
＝「テュ・アゥ・ウン・キル・エ・エン(tu-aw-un-kir-e-en)」＝「峰の・角、枝分かれ・にある・山脚が・そこで・突き出ている（ところ）」","jomon2_bnum60.html"
"康州","山陰県","慶尚南道 山清郡 山清邑 山清里","山陰県","知品川県","山陰県","上古音：「知」t i̯ĕɡ／t ǐe／t jeɡ／t ieɣ／t rig
上古音：「品」pʰl i̯əm／pʰ ǐəm／pʰ jəm／pʰ iəm／phl jiəmx
上古音：「川」ȶʰ i̯wan／ȶʰ ǐwən- -／- -／th jiən
随唐音：「山」ʂ ăn／ʃ æn／ʃ æn／ʂ æn／ṣ ăn／ʃ ɐn
随唐音：「陰」ʔ i̯əm／0 ǐěm／ʔ jĕm／ʔ iem／· jəm／ʔ ǐəm","アイヌ語：「知品川（県）」
＝「テュ・エ・エン・ピル・アム・テュ・エ・エン(tu-e-en-pir-am-tu-e-en)」＝「峰が・そこで・突き出ている・傷の（ように切り刻まれた）・爪の・峰が・そこで・突き出ている（ところ）」
アイヌ語：「山陰（県）」 ＝「シル・エ・エン・イ・アム(sir-e-en-i-am)」＝「山が・そこで・突き出ている・その・爪（の形のもの）」","jomon2_bnum60.html"
"康州","天嶺郡","慶尚南道 咸陽郡 咸陽邑","天嶺郡","速含郡","咸陽郡","上古音：「速」s uk／s ɔk／s ûk／s ewk／s uk
上古音：「含」ɡʰ əm／ɣ əm／ɣ ə̂m／ɡ əm／g əm
随唐音：「天」tʰ ien／tʰ ien／tʰ iɛn／tʰ iɛn／th ien／tʰ ien
随唐音：「嶺」- -／l ǐɛŋ／l jɛŋ／l iæŋ／l jäng／l ǐɛŋ
随唐音：「咸」ɣ ăm／ɣ ɐm／ɣ ɐm／ɣ æm／ɣ ăm／x ɐm
随唐音：「陽」0 i̯aŋ／j ǐaŋ／0 jɑŋ／0 iɑŋ／ji ang／0 ǐɑŋ","アイヌ語：「速含（郡）」
＝「シル・オク・キル・アム(sir-ok-kir-am)」＝「山の・うなじ（盆の窪のような窪み）の・脚の・爪（のように平べったい鋭い峰）」
アイヌ語：「天嶺（郡）」
＝「テュ・エ・エン・リ・エン(tu-e-en-ri-en)」＝「峰が・そこで・突き出ている・高く・突き出ている（ところ）」
アイヌ語：「咸陽（郡）」
＝「キル・アム・イ・アゥ・ウン(kir-am-i-aw-un)」＝「山脚の・爪（のように平べったい鋭い峰）・その・角、枝分かれ・にある（ところ）」","jomon2_bnum60.html"
"康州","雲峯県","全北特別自治道 南原市 雲峯邑","雲峯県","母山県（阿英城、阿莫城）／母山県／阿英城／阿莫城","雲峯県","上古音：「母」m əɡ／m ə／m uə̩̂ɡ／m əɣ／m əgx
上古音：「山」s ăn／ʃ ean／- -／s rian／s rian
上古音：「阿」ʔ ɑ／0 ai／ʔ ɑ／ʔ a／· ar
上古音：「英」ʔ i̯ăŋ／0 iaŋ／ʔ jăŋ／ʔ iaŋ／· jiang
上古音：「城」ȡ i̯ĕŋ／ʑ ǐeŋ／ʑ jeŋ／d jieŋ／d jing
上古音：「莫」m uak／m uɑk／m wak／m ak
随唐音：「雲」j i̯uən／ɣ ǐuən／ɣ juən／j iuən／j uən／j ǐuən
随唐音：「峯」- -／pʰ ǐwoŋ／pʰ juoŋ／pʰ iuoŋ／ph jwong／pfʰ ǐuŋ","アイヌ語：「母山（県）」
＝「ム・アク・シル・エ・エン(mu-ak-sir-e-en)」＝「ふさがった・弟の（ように小さい）or矢を射る（ように鋭く尖った）・山が・そこで・突き出ている（ところ）」
アイヌ語：「阿英城」 ＝「アゥ・イ・アゥ・テュ・エ・エン(aw-i-aw-tu-e-en)」＝「角、枝分かれ・その・角、枝分かれの・峰が・そこで・突き出ている（ところ）」
アイヌ語：「阿莫城」
＝「アゥ・ム・アク・テュ・エ・エン(aw-mu-ak-tu-e-en)」＝「角、分かれの・ふさがった・弟の（ように小さい）o矢を射る（ように鋭く尖った）・峰が・そこで・突き出ている（ところ）」
アイヌ語：「雲峯（県）」
＝「キル・エ・エン・ピル・アゥ・ウン(kir-e-en-pir-aw-un)」＝「山脚が・そこで・突き出ている・傷（のように切り刻まれた峰）の・角、枝分かれ・にある（ところ）」
or「イ・エ・エン・ピル・アゥ・ウン(i-e-en-pir-aw-un)」＝「それが・そこで・突き出ている・傷（のように切り刻まれた峰）の・角、枝分かれ・にある（ところ）」","jomon2_bnum60.html"
"康州","利安県","慶尚南道 咸陽郡 安義面","利安県","馬利県","利安県","上古音：「馬」m ɔ／m ea／m uăɡ／m rwaɣ／m ragx
上古音：「利」l i̯əd／l ǐei／l jed／l ier／l jidh
随唐音：「利」l ji／l i／l jei／l iɪi／l ji／l ǐe
随唐音：「安」ʔ ɑn／0 ɑn／ʔ ɑn／ʔ ɑn／· ân／ʔ ɑn","アイヌ語：「馬利（県）」
＝「ム・アク・リ・エン(mu-ak-ri-en)」＝「ふさがった・弟の（ように小さい）or矢を射る（ように鋭く尖った）・高く・突き出ている（ところ）」
アイヌ語：「利安（県）」
＝「リ・エン・アゥ・ウン(ri-en-aw-un)」＝「高く・突き出ている・角、枝分かれ・にある（ところ）」","jomon2_bnum60.html"
"康州","居昌郡","慶尚南道 居昌郡 居昌邑","居昌郡","居烈郡（居陁）／居烈郡／居陁郡","居昌郡","上古音：「居」k i̯o／k ǐa／k jaɡ／k jaɣ／k jag
上古音：「烈」l i̯at／l ǐat／- -／l iat／l jat
上古音：「陀」- -／ d ai／- -／- -／- -
随唐音：「居」k i̯wo／k ǐo／k jo／k io／k jwo／k ǐo
随唐音：「昌」tɕʰ i̯aŋ／tɕʰ ǐaŋ／tɕʰ jɑŋ／tɕʰ iɑŋ／tśh jang／tɕʰ ǐɑŋ","アイヌ語：「居烈（郡）」
＝「キル・アゥ・リ・アッ(kir-aw-ri-at)」＝「山脚の・角、枝分かれが・高く・たくさんある（ところ）」
アイヌ語：「居陁（郡）」
＝「キル・アゥ・テュ・アィ(kir-aw-tu-ay)」＝「山脚の・角、枝分かれの・峰の・矢、カジキマグロの顎（のように鋭く尖ったもの）」
アイヌ語：「居昌（郡）」
＝「キル・オ・テュ・アゥ・ウン(kir-o-tu-aw-un)」＝「山脚が・たくさんある・峰の・角、枝分かれ・にある（ところ）」","jomon2_bnum60.html"
"康州","餘善県","慶尚南道 居昌郡 渭川面","餘善県","南内県","感陰県","上古音：「南」n əm／n əm／n ə̂m／n əm／n əm
上古音：「内」n wəd／n uəi／n uə̂b,n uə̂d／n wər／n əbh
随唐音：「餘」0 i̯wo／j ǐo／0 jo／0 io／ji wo／0 ǐo
随唐音：「善」ʑ i̯ɛn／ʑ ǐɛn／ʑ jæn／dʑ iæn／ź jän／ʑ ǐɛn
随唐音：「感」k ɑ̆m／k ɒm／k Am／k əm／k ậm／k əm
随唐音：「陰」ʔ i̯əm／0 ǐěm／ʔ jĕm／ʔ iem／· jəm／ʔ ǐəm","アイヌ語：「南内（県）」
＝「ナン・ニン・アィ(nan-nin-ay)」＝「顔（斜面）の・消えかかった・カジキマグロの顎（のように鋭く突き出た峰）」
アイヌ語：「餘善（県）」
＝「イ・オ・テュ・エ・エン(i-o-tu-e-en)」＝「それが・たくさんある・峰が・そこで・突き出ている（ところ）」
アイヌ語：「感陰（県）」
＝「キル・アム・イ・アム(kir-am-i-am)」＝「山脚の・爪・その・爪（のように平べったく鋭い峰）」","jomon2_bnum60.html"
"康州","高霊郡","慶尚北道 高霊郡 大伽倻邑","高霊郡","大加耶","高霊郡","上古音：「大」tʰ ɑd, dʰ ɑd／d at／dʰ ɑd／d ar／d adh
上古音：「加」k a／k eai／k a／k ra／k rar
上古音：「耶」z i̯ɔ／ʎ ia／- -／ɣr aɣ／- -
随唐音：「高」k ɑu／k ɑu／k ɑu／k ɑu／k âu／k ɑu
随唐音：「靈」l ieŋ／l ieŋ／l ieŋ／l iɛŋ／l ieng／l ieŋ","アイヌ語：「大加耶」
＝「テュ・アッ・ク・アゥ・イ・アゥ(tu-at-ku-aw-i-aw)」＝「峰が・たくさんある・矢（先のような形の峰）の・角、枝分かれ・その・角、枝分かれ」
アイヌ語：「高霊（郡）」
＝「ク・アゥ・リ・エン(ku-aw-ri-en)」＝「矢（先のような形の峰）の・角、枝分かれの・高く・突き出ている（ところ）」","jomon2_bnum60.html"
"康州","冶爐県","慶尚南道 陜川郡 冶炉面","冶爐県","赤火県","冶爐県","上古音：「赤」ȶʰ i̯ăk／ȶʰ iak／cʰ jăk／tʰ jiak／kh rjiak
上古音：「火」x wɑr／h uəi／x uə̂r／x wə／hw ərx
随唐音：「冶」0 i̯a／j ǐa／0 ja／0 ia／ji a／0 ǐa
随唐音：「爐」l uo／l u／l uo／l uo／l uo／l u","アイヌ語：「赤火（県）」＝「テュ・アク・ハィ(tu-ak-hay)」＝「峰の・矢を射る（ような形の）・カジキマグロの顎（のように突き出た頂）」
アイヌ語：「冶爐（県）」
＝「イェ・アゥ・ル・オ(ye-aw-ru-o)」＝「石、岩の・角、枝分かれの・あとが・たくさんある（ところ）」","jomon2_bnum60.html"
"康州","新復県","慶尚北道 高霊郡 牛谷面","新復県","加尸兮県","未詳","上古音：「加」k a／k eai／k a／k ra／k rar
上古音：「尸」ɕ i̯ər／ɕ ǐei／ç jed／stʰ jier／h rjid
上古音：「兮」- -／ɣ ie／ɣ ieɡ／ɡ eɣ／g ig
随唐音：「新」s i̯ĕn／s ǐěn／s jen／s iɪn／s jĕn／s ǐen
随唐音：「復」bʰ i̯uk／b ǐuk／bʰ juk／b iuk／b juk／bvʰ ǐok","アイヌ語：「加尸兮（県）」
＝「ク・アゥ・シル・エ・エン・キル・エ・エン(ku-aw-sir-e-en-kir-e-en)」＝「矢（先のような形の峰）の・角、枝分かれの・山が・そこで・突き出ている（ところ）・山脚が・そこで・突き出ている（ところ）」
アイヌ語：「新復（県）」
＝「シル・エ・エン・ピル・ケ(sir-e-en-pir-ke)」＝「山が・そこで・突き出ている・傷の（ように切り刻まれた）・ところ」","jomon2_bnum60.html"
